BenchmarkSnapshot/64_x_2_B-10        	       1	   5160584 ns/op	     56088 bytes	       196.0 calls	 3233792 B/op	   44897 allocs/op
BenchmarkSnapshot/64_x_2_B-10        	       1	   4272417 ns/op	     56056 bytes	       196.0 calls	 3238160 B/op	   44972 allocs/op
BenchmarkSnapshot/64_x_2_B-10        	       1	   5067541 ns/op	     56066 bytes	       196.0 calls	 3237744 B/op	   44902 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2443583 ns/op	      9744 bytes	         7.000 calls	  930016 B/op	    5358 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2672375 ns/op	      9744 bytes	         7.000 calls	  921336 B/op	    5390 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2432625 ns/op	      9744 bytes	         7.000 calls	  914144 B/op	    5395 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2238083 ns/op	      9744 bytes	         7.000 calls	  933432 B/op	    5403 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2469209 ns/op	      9740 bytes	         7.000 calls	  901400 B/op	    5362 allocs/op
BenchmarkSnapshot/1_x_8.2_kB-10      	       1	   2446292 ns/op	      9740 bytes	         7.000 calls	  915776 B/op	    5430 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   2753875 ns/op	     18787 bytes	        10.00 calls	 1076696 B/op	    6019 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   2436666 ns/op	     18791 bytes	        10.00 calls	 1072056 B/op	    6055 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   2881000 ns/op	     18787 bytes	        10.00 calls	 1116224 B/op	    6037 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   3069000 ns/op	     18791 bytes	        10.00 calls	 1124576 B/op	    6023 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   2744958 ns/op	     18791 bytes	        10.00 calls	 1106464 B/op	    6046 allocs/op
BenchmarkSnapshot/2_x_8.2_kB-10      	       1	   2584458 ns/op	     18787 bytes	        10.00 calls	 1124824 B/op	    6043 allocs/op
BenchmarkSnapshot/4_x_8.2_kB-10      	       1	   2584375 ns/op	     36883 bytes	        16.00 calls	 1378968 B/op	    7296 allocs/op
BenchmarkSnapshot/4_x_8.2_kB-10      	       1	   2723500 ns/op	     36891 bytes	        16.00 calls	 1417896 B/op	    7280 allocs/op
BenchmarkSnapshot/4_x_8.2_kB-10      	       1	   2423084 ns/op	     36887 bytes	        16.00 calls	 1406064 B/op	    7311 allocs/op
BenchmarkSnapshot/4_x_8.2_kB-10      	       1	   2782167 ns/op	     36887 bytes	        16.00 calls	 1435408 B/op	    7319 allocs/op
BenchmarkSnapshot/4_x_8.2_kB-10      	       1	   2407875 ns/op	     36891 bytes	        16.00 calls	 1428816 B/op	    7320 allocs/op
BenchmarkSnapshot/4_x_8.2_kB-10      	       1	   2831917 ns/op	     36887 bytes	        16.00 calls	 1386864 B/op	    7321 allocs/op
BenchmarkSnapshot/8_x_8.2_kB-10      	       1	   2745250 ns/op	     73095 bytes	        28.00 calls	 2072032 B/op	    9884 allocs/op
BenchmarkSnapshot/8_x_8.2_kB-10      	       1	   2964917 ns/op	     73091 bytes	        28.00 calls	 2043056 B/op	    9894 allocs/op
BenchmarkSnapshot/8_x_8.2_kB-10      	       1	   2646667 ns/op	     73095 bytes	        28.00 calls	 1986960 B/op	    9837 allocs/op
BenchmarkSnapshot/8_x_8.2_kB-10      	       1	   2995541 ns/op	     73087 bytes	        28.00 calls	 2039184 B/op	    9859 allocs/op
BenchmarkSnapshot/8_x_8.2_kB-10      	       1	   3043875 ns/op	     73095 bytes	        28.00 calls	 2034984 B/op	    9906 allocs/op
BenchmarkSnapshot/8_x_8.2_kB-10      	       1	   2607250 ns/op	     73087 bytes	        28.00 calls	 2018904 B/op	    9850 allocs/op
BenchmarkSnapshot/16_x_8.2_kB-10     	       1	   3113959 ns/op	    145505 bytes	        52.00 calls	 3331744 B/op	   14974 allocs/op
BenchmarkSnapshot/16_x_8.2_kB-10     	       1	   3301167 ns/op	    145517 bytes	        52.00 calls	 3241768 B/op	   14956 allocs/op
BenchmarkSnapshot/16_x_8.2_kB-10     	       1	   3288167 ns/op	    145501 bytes	        52.00 calls	 3342440 B/op	   14969 allocs/op
BenchmarkSnapshot/16_x_8.2_kB-10     	       1	   2953542 ns/op	    145509 bytes	        52.00 calls	 3281896 B/op	   14940 allocs/op
BenchmarkSnapshot/16_x_8.2_kB-10     	       1	   3179459 ns/op	    145513 bytes	        52.00 calls	 3290472 B/op	   14894 allocs/op
BenchmarkSnapshot/16_x_8.2_kB-10     	       1	   3286750 ns/op	    145517 bytes	        52.00 calls	 3271336 B/op	   14932 allocs/op
BenchmarkSnapshot/32_x_8.2_kB-10     	       1	   3914750 ns/op	    290374 bytes	       100.0 calls	 5650416 B/op	   25015 allocs/op
BenchmarkSnapshot/32_x_8.2_kB-10     	       1	   4134166 ns/op	    290378 bytes	       100.0 calls	 5672000 B/op	   24998 allocs/op
BenchmarkSnapshot/32_x_8.2_kB-10     	       1	   4512167 ns/op	    290370 bytes	       100.0 calls	 5744728 B/op	   25035 allocs/op
BenchmarkSnapshot/32_x_8.2_kB-10     	       1	   4224125 ns/op	    290378 bytes	       100.0 calls	 5566656 B/op	   24899 allocs/op
BenchmarkSnapshot/32_x_8.2_kB-10     	       1	   4009375 ns/op	    290362 bytes	       100.0 calls	 5651408 B/op	   24919 allocs/op
BenchmarkSnapshot/32_x_8.2_kB-10     	       1	   4242000 ns/op	    290374 bytes	       100.0 calls	 5689232 B/op	   24883 allocs/op
